İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Sincan , Fevzi Çakmak,4,105,0,0,16000
 Çankaya , Emek,4,145,1,3,45000
 Keçiören , Kanuni,4,140,13,3,16750
 Mamak , Şahintepe,4,115,12,3,15000
 Keçiören , Şenlik,4,135,15,3,20000
 Sincan , Saraycık,3,90,0,1,15000
 Yenimahalle , Tepealtı,3,85,25,1,22000
 Etimesgut , Şeyh Şamil,2,55,20,2,17000
 Yenimahalle , Yeşilevler,4,140,12,3,26000
 Keçiören , Kuşcağız,4,120,11,2,17000
 Çankaya , Şehit Cevdet Özdemir,4,115,27,0,19750
 Çankaya , Ayrancı,3,90,45,0,16500
 Çankaya , Remzi Oğuz Arık,3,100,26,2,27000
 Mamak , Şirintepe,4,125,8,1,12000
 Sincan , Saraycık,4,143,4,4,23000
 Keçiören , Çiçekli,4,120,25,3,18750
 Mamak , Cengizhan,4,140,8,8,23500
 Gölbaşı , Taşpınar,2,60,0,2,24250
 Yenimahalle , Demetevler,4,125,25,6,28000
 Çankaya , Ümit,4,135,49,4,32500
 Çankaya , Yaşamkent,5,165,5,7,40000
 Keçiören , Adnan Menderes,4,145,15,3,19000
 Keçiören , Şehit Kubilay,4,130,30,6,13500
 Yenimahalle , Batı Sitesi,3,100,0,1,27500
 Etimesgut , Şeyh Şamil,4,100,28,3,20000
 Çankaya , Naci Çakır,4,119,28,1,18900
 Mamak , Kutlu,4,125,25,2,16000
 Etimesgut , Devlet,3,65,2,0,18250
 Mamak , Kutlu,4,120,22,3,14250
 Keçiören , Yayla,5,180,7,5,38000
 Keçiören , Çaldıran,4,125,18,3,16000
 Çankaya , Emek,4,120,15,3,43000
 Keçiören , Bağlarbaşı,4,135,14,2,23000
 Keçiören , Yakacık,4,125,35,2,20000
 Keçiören , Yayla,4,135,4,1,20500
 Yenimahalle , Demetevler,4,135,35,3,19000
 Mamak , Durali Alıç,4,145,4,3,17000
 Keçiören , Ayvalı,4,150,16,1,25999
 Yenimahalle , Demetevler,4,120,35,2,16800
 Mamak , Aşık Veysel,4,100,20,-2,13000
 Keçiören , Şenlik,4,140,0,8,36000
 Çankaya , Barbaros,3,110,30,0,42000
 Çankaya , Birlik,5,160,22,-1,25000
 Çankaya , Yıldızevler,5,185,16,4,45000
 Çankaya , Birlik,5,160,22,-1,25000
 Çankaya , Yıldızevler,5,185,16,4,45000
 Etimesgut , Şehit Osman Avcı,3,90,2,8,29000
 Çankaya , Ön Cebeci,4,110,25,3,20000
 Çankaya , Birlik,3,80,0,0,25000
 Yenimahalle , Yeni Batı,4,140,16,4,30000
 Keçiören , Ovacık,3,85,20,0,15000
 Altındağ , Karacaören,3,95,16,1,12000
 Keçiören , Yayla,5,150,15,1,18000
 Yenimahalle , Kuzey Yıldızı,5,185,2,8,31500
 Mamak , Akdere,4,120,20,3,18000
 Keçiören , Yayla,4,120,15,-1,17500
 Etimesgut , Şehit Osman Avcı,4,110,23,1,20000
 Keçiören , Atapark,4,120,25,3,16500
 Sincan , Ulubatlı Hasan,3,70,35,3,12000
 Yenimahalle , Ergenekon,4,105,21,2,19000
 Mamak , Küçük Kayaş,5,132,5,1,13500
 Altındağ , Battalgazi,4,110,15,1,15500
 Çankaya , Kırkkonaklar,5,145,25,3,29000
 Keçiören , Osmangazi,4,130,15,3,16990
 Yenimahalle , Mehmet Akif Ersoy,3,85,15,1,22000
 Etimesgut , Oğuzlar,4,125,25,3,17250
 Çankaya , İlkbahar,3,130,0,3,40000
 Mamak , Ege,5,164,0,1,32500
 Keçiören , Kavacık Subayevleri,4,120,30,1,20000
 Etimesgut , Eryaman,3,160,10,3,35000
 Yenimahalle , Burç,4,150,6,3,30000
 Mamak , Balkiraz,4,110,40,1,17500
 Sincan , Törekent,5,165,3,8,28000
 Mamak , Saimekadın,4,105,30,2,20000
 Yenimahalle , Mehmet Akif Ersoy,3,97,11,1,35500
 Etimesgut , Yukarıyurtçu,3,125,5,7,16250
 Çankaya , Öveçler,4,130,30,4,23000
 Yenimahalle , İnönü,4,110,28,1,18000
 Sincan , Alcı,4,165,0,5,12500
 Etimesgut , Güzelkent,4,150,5,1,30000
 Mamak , Abidinpaşa,3,80,20,1,20000
 Yenimahalle , Gayret,3,90,40,1,17000
 Mamak , Zirvekent,2,55,11,3,10500
 Çankaya , Ayrancı,4,110,35,1,27500
 Yenimahalle , Emniyet,2,85,2,6,31000
 Çankaya , Sancak,5,175,24,2,32000
 Keçiören , Hasköy,4,90,30,1,17000
 Yenimahalle , Demetevler,4,140,30,6,20000
 Mamak , Balkiraz,4,130,33,3,17500
 Yenimahalle , Kardelen,5,170,16,5,43000
 Çankaya , Alacaatlı,5,185,16,1,40000
 Çankaya , Metin Akkuş,3,135,25,1,22500
 Sincan , Fatih,4,125,20,4,17000
 Yenimahalle , Ergazi,4,120,25,3,21000
 Gölbaşı , Kızılcaşar,3,110,0,0,35000
 Çankaya , Seyranbağları,4,120,35,1,20000
 Gölbaşı , İncek,2,45,0,0,12000
 Çankaya , Huzur,4,120,28,6,25000
 Mamak , General Zeki Doğan,3,90,30,1,14000
 Çankaya , Meşrutiyet,2,85,25,5,36900
 Çankaya , Mürsel Uluç,4,122,15,3,25000
 Sincan , Menderes,5,149,1,3,23000
 Çankaya , Bayraktar,4,100,28,2,15000
 Çankaya , Tınaztepe,4,110,40,2,25000
 Keçiören , Bağlarbaşı,4,120,20,1,16500
 Mamak , Hürel,3,90,16,1,20500
 Çankaya , Yukarı Bahçelievler,3,100,25,1,25000
 Sincan , Andiçen,3,80,0,3,20000
 Çankaya , Yukarı Bahçelievler,4,130,30,3,30000
 Çankaya , Emek,3,85,35,3,21000
 Etimesgut , Yeni Bağlıca,4,145,4,1,35000
 Keçiören , Şefkat,4,120,28,2,21000
 Çankaya , Üniversiteler,4,150,26,8,40000
 Çankaya , Ümit,3,85,20,0,27000
 Sincan , Alcı,4,135,2,3,12500
 Etimesgut , Süvari,4,125,16,1,17000
 Etimesgut , Topçu,3,85,1,3,23500
 Yenimahalle , Demetlale,4,130,35,5,13500
 Polatlı , Şehitlik,4,158,28,3,13500
 Etimesgut , Süvari,3,100,15,2,16500
 Çankaya , Emek,4,95,38,2,33000
 Çankaya , Ön Cebeci,4,110,18,0,21000
 Çankaya , Birlik,4,115,26,1,21000
 Çankaya , Birlik,5,175,22,1,35000
 Mamak , Tuzluçayır,4,120,19,2,16000
 Çankaya , Osman Temiz,4,100,30,1,23000
 Pursaklar , Mimar Sinan,4,125,18,4,16000
 Çankaya , Şehit Cevdet Özdemir,2,90,0,0,28000
 Çankaya , Ahlatlıbel,2,60,0,0,21000
 Çankaya , Aşağı Öveçler,4,125,28,2,30000
 Altındağ , Zübeyde Hanım,3,110,31,4,20000
 Mamak , Şahap Gürler,4,125,20,3,12500
 Çankaya , İşçi Blokları,3,90,35,8,35000
 Çankaya , Sokullu Mehmet Paşa,4,120,29,1,25000
 Keçiören , Aşağı Eğlence,4,125,35,3,19000
 Çankaya , Aziziye,3,90,31,2,37000
 Çankaya , Emek,4,120,35,6,30000
 Yenimahalle , Yeni Batı,3,85,5,3,30000
 Altındağ , Güneşevler,4,100,35,4,12000
 Çankaya , Aziziye,4,140,49,3,29000
 Çankaya , Emek,4,100,35,0,20000
 Gölbaşı , İncek,3,85,1,2,18500
 Çankaya , Naci Çakır,4,150,30,3,29900
 Polatlı , Cumhuriyet,4,145,20,4,13000
 Çankaya , Fakülteler,4,90,20,3,22750
 Çankaya , Çamlıtepe,3,80,40,3,21500
 Etimesgut , Şeker,3,100,5,3,26000
 Çankaya , Mürsel Uluç,4,130,8,2,25000
 Çankaya , Sokullu Mehmet Paşa,4,140,20,1,19000
 Çankaya , Çamlıtepe,4,125,22,2,20000
 Mamak , Şahintepe,4,115,15,0,22500
 Etimesgut , Topçu,4,115,18,1,19000
 Çankaya , Anıttepe,4,110,24,1,30000
 Çankaya , Kavaklıdere,3,90,30,0,22000
 Yenimahalle , Mehmet Akif Ersoy,4,130,10,6,27000
 Gölbaşı , İncek,2,75,2,6,22000
 Etimesgut , Bağlıca,5,170,11,8,35000
 Mamak , Akşemsettin,4,150,0,3,28000
 Çankaya , Çamlıtepe,4,120,40,4,25000
 Çankaya , Yukarı Bahçelievler,5,150,30,2,32000
 Etimesgut , Topçu,4,110,17,2,16500
 Çankaya , Şehit Cevdet Özdemir,4,115,29,1,21500
 Çubuk , Yıldırım Beyazıt,2,45,6,3,8000
 Yenimahalle , Tepealtı,4,110,19,3,21000
 Keçiören , Yükseltepe,4,130,6,1,18500
 Gölbaşı , Bahçelievler,4,115,10,1,22500
 Çankaya , Emek,3,63,4,2,39000
 Sincan , Plevne,4,120,27,1,15000
 Çankaya , Harbiye,4,125,30,2,23000
 Mamak , Kutlu,4,155,16,-3,14000
 Keçiören , Kavacık Subayevleri,4,140,38,1,19500
 Yenimahalle , Kuzey Yıldızı,4,165,0,5,26000
 Yenimahalle , Demetlale,4,140,35,7,20000
 Çankaya , İlkadım,4,130,26,-1,18000
 Çankaya , Emek,2,65,29,1,22000
 Çankaya , Akpınar,4,125,11,1,19000
 Çankaya , Dodurga,4,125,20,0,23000
 Çankaya , Oğuzlar,4,110,25,1,28000
 Yenimahalle , Yeni Batı,3,85,0,6,24000
 Keçiören , İncirli,4,130,15,1,24000
 Çankaya , Kazım Özalp,4,130,4,2,39000
 Mamak , Şafaktepe,4,120,25,3,25000
 Yenimahalle , Demetgül,5,160,10,2,29000
 Çankaya , Emek,3,80,40,0,22000
 Altındağ , Aydınlıkevler,4,119,0,1,32000
 Çankaya , Harbiye,4,130,31,1,20000
 Altındağ , Güneşevler,4,130,18,1,18000
 Çankaya , Seyranbağları,3,80,35,3,15000
 Yenimahalle , Tepealtı,3,90,35,2,20000
 Altındağ , Örnek,3,80,30,3,10000
 Mamak , Aşık Veysel,4,115,25,-2,18000
 Yenimahalle , Esentepe,3,95,25,1,20000
 Keçiören , Tepebaşı,4,135,30,3,16000
 Çankaya , Kültür,4,115,30,5,25000
 Çankaya , Remzi Oğuz Arık,5,160,50,2,30000
 Etimesgut , Turkuaz,4,137,13,2,18000
 Mamak , General Zeki Doğan,4,120,18,0,16500
 Keçiören , Etlik,4,120,35,0,13000
 Çankaya , Kavaklıdere,3,100,60,4,18000
 Yenimahalle , Gazi,3,72,8,1,24500
 Yenimahalle , Burç,5,150,0,2,35000
 Çankaya , Sokullu Mehmet Paşa,4,100,30,2,15000
 Çankaya , Emek,4,145,1,3,45000
 Çankaya , İlkadım,3,100,25,-1,27000
 Mamak , Ege,4,125,10,4,23000
 Keçiören , Bademlik,4,125,20,1,17000
 Çankaya , İlker,4,130,25,-1,19000
 Mamak , Demirlibahçe,2,75,0,3,28000
 Sincan , Malazgirt,4,125,15,3,15500
 Yenimahalle , Serhat,4,166,14,5,35000
 Keçiören , 23 Nisan,4,115,25,3,14500
 Keçiören , Etlik,4,140,7,3,19500
 Etimesgut , Piyade,3,105,16,1,15000
 Çankaya , İlkbahar,2,82,6,3,32000
 Keçiören , Ayvalı,4,125,27,6,22500
 Mamak , Şahintepe,4,125,15,1,15000
 Çankaya , Tınaztepe,4,110,45,-1,25000
 Altındağ , Gültepe,5,160,35,6,12000
 Çankaya , Yukarı Bahçelievler,3,100,36,3,36000
 Keçiören , Atapark,4,120,10,0,16000
 Yenimahalle , Turgut Özal,5,165,15,4,35250
 Mamak , Hürel,4,110,20,3,21000
 Mamak , Diriliş,3,90,5,4,18150
 Keçiören , Kamil Ocak,4,125,25,3,18000
 Mamak , Şahintepe,4,125,13,3,14250
 Mamak , General Zeki Doğan,4,115,18,0,15000
 Mamak , Durali Alıç,4,135,8,2,20000
 Keçiören , Kuşcağız,4,120,16,1,19750
 Altındağ , Aydınlıkevler,4,120,27,2,17000
 Etimesgut , Şeker,3,100,5,6,30500
 Keçiören , Yayla,4,125,9,2,20000
 Sincan , Fevzi Çakmak,2,60,0,4,15000
 Etimesgut , Devlet,2,60,2,0,18250
 Keçiören , Bağlarbaşı,4,110,30,-1,12500
 Çankaya , Metin Oktay,2,60,0,4,25000
 Çankaya , Şehit Cevdet Özdemir,3,105,32,1,19000
 Sincan , Mustafa Kemal,3,100,11,3,13500
 Keçiören , Ayvalı,4,120,15,1,20000
 Sincan , Hürriyet,2,55,12,3,9000
 Keçiören , Şehit Kubilay,4,120,20,2,17000
 Yenimahalle , İnönü,4,110,27,1,20250
 Gölbaşı , Taşpınar,2,80,0,1,26500
 Yenimahalle , Demetevler,4,120,32,3,24000
 Çankaya , Aydınlar,3,115,30,2,20000
 Yenimahalle , Varlık,3,100,35,2,29000
 Yenimahalle , Turgut Özal,5,160,11,8,33000
 Mamak , Aşık Veysel,4,115,27,3,14500
 Çankaya , Şehit Cevdet Özdemir,4,125,29,3,21500
 Çankaya , Metin Akkuş,4,135,20,1,22000
 Çankaya , Aşıkpaşa,4,101,3,6,26500
 Keçiören , Şehit Kubilay,3,109,10,0,15000
 Keçiören , Ayvalı,4,110,20,6,14000
 Yenimahalle , Burç,4,140,11,5,21000
 Polatlı , Zafer,4,150,20,1,13000
 Çankaya , İleri,4,100,30,2,16000
 Çankaya , Yukarı Bahçelievler,3,120,0,0,30000
 Altındağ , Karapürçek,4,120,15,3,15000
 Mamak , Demirlibahçe,4,135,20,1,17000
 Keçiören , Ayvalı,4,125,16,1,20500
 Mamak , General Zeki Doğan,5,190,0,2,35000
 Etimesgut , Şeyh Şamil,4,110,28,0,25000
 Yenimahalle , Aşağı Yahyalar,4,140,11,1,26000
 Etimesgut , Göksu,5,175,18,3,38000
 Etimesgut , Eryaman,4,155,26,8,28000
 Keçiören , Yakacık,4,135,30,3,19500
 Mamak , Boğaziçi,4,130,0,2,20500
 Çankaya , Aziziye,3,155,31,-2,30000
 Etimesgut , Bağlıca,3,95,2,1,25500
 Çankaya , Şehit Cengiz Karaca,4,135,15,3,26500
 Keçiören , Basınevleri,4,90,30,1,17500
 Çankaya , Huzur,5,145,26,3,28000
 Keçiören , Tepebaşı,4,114,23,1,16000
 Altındağ , Hacettepe,4,150,8,3,31000
 Etimesgut , Tunahan,4,129,12,5,24500
 Etimesgut , Güzelkent,4,140,6,1,30000
 Sincan , Saraycık,4,120,4,6,20000
 Çankaya , Konutkent,4,129,30,1,29000
 Çankaya , Karapınar,4,140,19,4,30000
 Mamak , Aşık Veysel,4,120,29,3,14000
 Çankaya , Kırkkonaklar,3,80,6,1,26000
 Gölbaşı , İncek,2,90,1,2,22000
 Çankaya , İlkbahar,2,75,11,3,35000
 Çankaya , Birlik,2,100,20,1,20000
 Keçiören , Emrah,4,120,30,6,15000
 Yenimahalle , Işınlar,4,150,25,1,25000
 Mamak , Saimekadın,3,90,32,-1,12500
 Çankaya , İşçi Blokları,3,90,31,2,23000
 Gölbaşı , Karşıyaka,4,135,12,3,22500
 Çankaya , Konutkent,4,105,25,1,27000
 Çankaya , Yukarı Bahçelievler,3,95,45,3,25000
 Çankaya , Şehit Cengiz Karaca,4,132,15,1,26500
 Etimesgut , Topçu,4,115,20,3,18000
 Gölbaşı , Kızılcaşar,2,63,0,1,19250
 Çankaya , Seyranbağları,3,105,45,3,25000
 Mamak , Misket,4,110,15,3,15500
 Keçiören , Şenlik,4,120,38,3,15500
 Pursaklar , Fatih,4,110,14,3,20000
 Keçiören , Şenlik,4,135,40,6,14000
 Mamak , Zirvekent,2,45,15,3,8250
 Çankaya , Bahçelievler,2,50,0,0,33000
 Sincan , Gökçek,4,125,17,3,25000
 Çankaya , Mebusevleri,4,145,30,1,27000
 Keçiören , 19 Mayıs,4,100,28,1,10000
 Çankaya , Akpınar,5,190,15,2,45000
 Çankaya , Alacaatlı,2,74,0,-2,22500
 Çankaya , Cevizlidere,4,160,15,1,28000
 Çankaya , Bahçelievler,4,140,30,6,35000
 Çankaya , Keklik Pınarı,3,120,20,-1,23000
 Çankaya , Emek,2,70,40,0,9500
 Çankaya , Emek,2,60,5,2,35000
 Etimesgut , Şehit Osman Avcı,3,92,31,2,20500
 Sincan , Törekent,3,85,0,3,23000
 Keçiören , İncirli,4,110,25,2,20000
 Çankaya , Kavaklıdere,4,120,39,2,22500
 Çankaya , Bahçelievler,2,50,0,0,32000
 Çankaya , İlkadım,4,110,30,2,21000
 Gölbaşı , Taşpınar,4,110,1,2,30000
 Keçiören , Yakacık,4,117,45,3,18000
 Yenimahalle , Kentkoop,4,160,25,3,36000
 Çankaya , Çankaya,4,115,45,2,28000
 Çubuk , Yıldırım Beyazıt,2,55,0,4,10000
 Etimesgut , Elvan,2,140,17,6,20000
 Çankaya , İşçi Blokları,3,90,35,4,27000
 Çankaya , İlkbahar,2,70,5,3,31000
 Çankaya , Yukarı Bahçelievler,4,125,40,2,27000
 Çankaya , Aşağı Öveçler,4,145,15,1,33000
 Keçiören , Ayvalı,4,120,15,4,35000
 Çankaya , Çankaya,3,90,55,0,25000
 Mamak , Şafaktepe,4,120,20,-2,16000
 Çankaya , İlkadım,4,120,28,3,20000
 Gölbaşı , Bahçelievler,2,65,15,4,20000
 Etimesgut , Devlet,4,129,24,3,23500
 Çankaya , İşçi Blokları,3,99,40,1,20000
 Çankaya , Aşağı Öveçler,4,160,15,1,33000
 Etimesgut , 30 Ağustos,4,125,9,3,17000
 Çankaya , Mebusevleri,4,100,0,0,40000
 Keçiören , Çiçekli,4,90,25,1,15000
 Sincan , Ulubatlı Hasan,4,110,35,5,18000
 Çankaya , Mürsel Uluç,4,105,15,-1,16500
 Çankaya , Birlik,5,135,11,0,25000
 Çankaya , Gaziosmanpaşa,3,110,35,1,38000
 Keçiören , Pınarbaşı,4,100,35,-1,10000
 Çankaya , Metin Oktay,5,145,35,-1,21000
 Yenimahalle , Ergazi,4,125,25,0,20000
 Etimesgut , Topçu,3,100,20,1,16750
 Polatlı , Şehitlik,4,135,10,2,15000
 Etimesgut , Alsancak,4,120,15,3,18500
 Çankaya , İlkadım,3,79,0,1,27500
 Çankaya , Aydınlar,4,130,30,3,24000
 Çankaya , Maltepe,4,160,4,5,45000
 Çankaya , Yaşamkent,2,43,8,-1,20500
 Çubuk , Esenboğa Merkez,2,45,6,1,9250
 Çankaya , Cebeci,5,160,35,2,35000
 Mamak , Peyami Safa,4,115,0,0,19000
 Keçiören , Adnan Menderes,4,135,1,2,28000
 Keçiören , Atapark,4,115,23,5,20000
 Çankaya , Maltepe,4,135,40,1,30000
 Çankaya , Sokullu Mehmet Paşa,4,130,30,3,20000
 Çubuk , Esenboğa Merkez,2,67,1,2,13500
 Altındağ , Güneşevler,4,168,6,3,36000
 Gölbaşı , İncek,3,65,0,1,20000
 Çankaya , Korkutreis,3,80,22,1,25000
 Mamak , Abidinpaşa,4,115,35,3,15500
 Çankaya , Güzeltepe,4,155,35,1,38000
 Çankaya , Aşağı Öveçler,4,135,26,2,26000
 Mamak , Kutlu,4,135,15,-2,15000
 Mamak , Balkiraz,4,110,35,2,16000
 Çankaya , Küçükesat,2,65,40,-1,14000
 Polatlı , Cumhuriyet,4,120,18,2,10500
 Etimesgut , Turkuaz,4,135,13,8,16200
 Çankaya , Gaziosmanpaşa,4,130,45,1,35000
 Çankaya , Remzi Oğuz Arık,4,120,40,3,25000
 Çankaya , Seyranbağları,4,180,9,4,25000
 Keçiören , Aşağı Eğlence,3,120,18,3,20500
 Mamak , Ege,5,165,2,3,32000
 Keçiören , Etlik,4,115,18,2,18000
 Yenimahalle , Güventepe,4,110,15,1,18000
 Keçiören , Etlik,4,120,30,1,20000
 Keçiören , Etlik,4,135,15,4,25000
 Keçiören , Aşağı Eğlence,4,115,29,3,21000
 Sincan , Malazgirt,4,125,20,3,18999
 Çankaya , Keklik Pınarı,4,130,15,3,22000
 Etimesgut , Ahi Mesut,4,110,15,4,20000
 Altındağ , Güneşevler,4,110,15,1,15000
 Keçiören , Etlik,4,135,20,6,18000
 Sincan , Gazi Osmanpaşa,4,121,30,5,15000
 Mamak , Kutlu,4,109,25,0,13500
 Mamak , Zirvekent,2,60,10,3,7200
 Keçiören , Basınevleri,4,125,14,1,17500
 Çankaya , Birlik,4,125,38,2,32000
 Sincan , Fevzi Çakmak,5,160,7,2,22000
 Gölbaşı , İncek,2,55,2,0,20000
 Keçiören , Kuşcağız,4,135,10,6,22000
 Etimesgut , Piyade,3,135,16,-1,19200
 Keçiören , Etlik,4,125,11,2,20000
 Keçiören , 23 Nisan,4,125,15,1,14750
 Altındağ , Beşikkaya,4,118,4,0,14000
 Sincan , Mustafa Kemal,5,160,5,1,20000
 Çankaya , İlkbahar,2,85,5,8,38000
 Mamak , Kazım Orbay,4,120,20,6,15000
 Çankaya , Cevizlidere,4,135,13,2,35000
 Gölbaşı , İncek,3,85,0,2,26000
 Çankaya , İlkadım,4,120,40,4,21000
 Yenimahalle , Varlık,3,100,35,2,29000
 Sincan , Menderes,4,140,7,3,21000
 Gölbaşı , Taşpınar,3,100,0,2,25500
 Çankaya , İlkadım,3,100,26,1,24500
 Etimesgut , Piyade,4,130,15,3,21000
 Keçiören , Aşağı Eğlence,4,130,25,6,20000
 Altındağ , Örnek,4,120,40,3,15000
 Keçiören , Esertepe,4,150,15,4,22000
 Keçiören , Kavacık Subayevleri,4,110,20,1,17000
 Keçiören , Bağlarbaşı,4,110,30,1,14500
 Gölbaşı , Taşpınar,2,60,0,1,25000
 Keçiören , Emrah,4,120,25,4,15000
 Çankaya , Harbiye,4,150,20,3,30000
 Mamak , Şahintepe,4,140,15,3,18000
 Mamak , Şahintepe,4,140,15,3,18000
 Sincan , Saraycık,4,150,4,5,22000
 Mamak , Şahap Gürler,5,170,0,3,21500
 Keçiören , Şenlik,4,150,25,3,24000
 Altındağ , Beşikkaya,4,120,13,2,16500
 Çankaya , Mimar Sinan,4,130,15,3,26000
 Çankaya , Osman Temiz,3,100,25,-1,19000
 Sincan , Menderes,4,138,8,5,25000
 Çankaya , Beytepe,4,165,16,4,40000
 Keçiören , Karargahtepe,3,115,24,3,17500
 Çankaya , Aydınlar,4,125,25,2,25000
 Keçiören , Ayvalı,4,110,18,1,16000
 Polatlı , Şehitlik,5,190,15,0,15000
 Etimesgut , Topçu,3,80,0,0,19000
 Çankaya , Kültür,4,150,30,2,30000
 Çankaya , Fidanlık,3,110,30,3,20000
 Çankaya , Anıttepe,3,75,1,3,34000
 Altındağ , Baraj,5,175,4,3,24000
 Mamak , Bahçeleriçi,5,180,7,3,20500
 Mamak , Yeşilbayır,3,115,5,2,25000
 Etimesgut , Şeyh Şamil,2,55,16,2,19000
 Çankaya , İşçi Blokları,2,90,10,4,34000
 Keçiören , Güçlükaya,3,100,45,0,11000
 Etimesgut , Yavuz Selim,4,135,18,3,21000
 Keçiören , Aşağı Eğlence,4,128,25,1,18750
 Çankaya , Birlik,5,170,25,1,27000
 Keçiören , Kuşcağız,5,140,15,2,20000
 Polatlı , Şentepe,4,130,23,6,11000
 Polatlı , Şehitlik,5,160,5,5,25000
 Çankaya , Cebeci,4,105,31,3,21000
 Çankaya , Bahçelievler,4,125,18,2,23500
 Mamak , Tuzluçayır,4,120,20,6,12500
 Polatlı , Şehitlik,4,155,0,2,20000
 Altındağ , Örnek,3,75,45,3,14000
 Sincan , Alcı,4,125,3,6,11000
 Yenimahalle , Demetevler,4,145,30,6,21500
 Mamak , Karaağaç,4,115,2,1,17750
 Yenimahalle , Demetevler,4,145,30,6,21500
 Gölbaşı , Bahçelievler,4,130,16,4,21000
 Mamak , Durali Alıç,4,135,5,1,21000
 Polatlı , Şehitlik,4,135,10,2,15500
 Pursaklar , Yunus Emre,4,130,13,2,17000
 Mamak , Şahintepe,4,100,15,3,17000
 Beypazarı , Kurtuluş,2,45,4,2,14000
 Sincan , 29 Ekim,4,120,13,3,18000
 Çankaya , Huzur,4,135,28,1,25000
 Sincan , Saraycık,4,145,6,0,15500
 Altındağ , Karapürçek,4,135,8,3,16000
 Keçiören , Pınarbaşı,4,135,6,0,17000
 Keçiören , Kavacık Subayevleri,3,85,40,0,13500
 Yenimahalle , Ergenekon,4,125,25,1,18000
 Keçiören , Bademlik,4,130,16,3,16000
 Çankaya , Ayrancı,3,80,31,1,19000
 Pursaklar , Saray Fatih,4,135,8,4,23000
 Çankaya , Emek,4,140,13,2,45000
 Sincan , Menderes,5,150,0,3,21000
 Keçiören , Ayvalı,4,100,21,-1,15000
 Gölbaşı , Karşıyaka,4,150,8,2,30000
 Gölbaşı , Karşıyaka,4,150,8,2,30000
 Yenimahalle , Demetgül,4,130,27,2,19000
 Polatlı , Cumhuriyet,4,120,35,4,12000
 Gölbaşı , İncek,3,135,0,3,38000
 Keçiören , Tepebaşı,3,85,21,0,20000
 Çankaya , İncesu,4,100,35,1,18000
 Çankaya , Ertuğrulgazi,4,120,21,-1,22000
 Keçiören , Yükseltepe,4,120,15,-2,13000
 Kahramankazan , Atatürk,4,135,11,3,16000
 Sincan , Mustafa Kemal,4,115,5,3,16250
 Mamak , Fahri Korutürk,3,95,11,1,13000
 Çankaya , Birlik,4,130,16,3,28000
 Polatlı , Şehitlik,3,100,0,1,16000
 Keçiören , Ayvalı,4,133,20,3,20000
 Mamak , Fahri Korutürk,4,135,0,1,20000
 Sincan , Plevne,4,165,20,2,15000
 Keçiören , Aşağı Eğlence,4,135,16,7,23000
 Keçiören , Bağlarbaşı,3,80,39,3,14000
 Etimesgut , 30 Ağustos,3,110,17,6,14500
 Mamak , General Zeki Doğan,4,115,15,0,14750
 Çankaya , Büyükesat,4,100,25,-1,18750
 Altındağ , Battalgazi,4,135,4,6,17500
 Altındağ , Battalgazi,4,135,4,6,17500
 Keçiören , Çiçekli,4,100,30,0,13500
 Mamak , Saimekadın,4,110,45,1,15000
 Pursaklar , Saray Fatih,4,120,15,-1,15000
 Gölbaşı , Kızılcaşar,3,120,5,2,12000
 Mamak , Cengizhan,4,140,15,2,23000
 Keçiören , Ayvalı,4,125,16,1,18000
 Altındağ , Hacettepe,2,65,16,4,26000
 Polatlı , Gazi,4,120,15,3,18000
 Etimesgut , Yeni Bağlıca,3,110,0,2,25000
 Çankaya , Sancak,4,115,20,1,28000
 Mamak , Mutlu,4,120,15,0,13000
 Etimesgut , Alsancak,4,125,15,2,16500
 Etimesgut , Devlet,4,110,2,3,33500
 Yenimahalle , Batı Sitesi,2,65,0,1,21000
 Sincan , Fevzi Çakmak,3,100,2,2,18000
 Keçiören , Kuşcağız,4,135,5,3,23500
 Kahramankazan , Atatürk,4,140,4,3,20000
 Çankaya , Kırkkonaklar,4,140,11,3,23000
 Sincan , Alcı,4,145,0,3,12000
 Etimesgut , Topçu,4,115,25,2,15000
 Sincan , Osmanlı,4,120,17,3,18500
 Keçiören , Bağlarbaşı,4,125,15,1,16500
 Mamak , Kartaltepe,5,190,5,6,29000
 Etimesgut , Eryaman,3,80,26,2,20000
 Mamak , Kayaş,4,120,15,6,15500
 Çankaya , Harbiye,4,125,30,1,19000
 Çankaya , Ertuğrulgazi,4,100,10,2,22500
 Yenimahalle , Çarşı,4,130,25,0,17500
 Çankaya , İlkbahar,4,140,4,3,36000
 Yenimahalle , Çiğdemtepe,4,160,7,7,25500
 Sincan , Selçuklu,4,110,18,2,16250
 Çankaya , Mürsel Uluç,4,110,25,2,18500
 Mamak , Bahçeleriçi,4,110,10,0,15500
 Mamak , Abidinpaşa,4,110,20,2,15000
 Etimesgut , Eryaman,4,120,20,3,23000
 Yenimahalle , İnönü,4,120,30,1,23500
 Altındağ , Gültepe,3,95,10,2,14000
 Çankaya , Ön Cebeci,3,85,45,3,19000
 Çankaya , Bayraktar,3,95,25,1,18000
 Keçiören , Ayvalı,4,110,18,-1,19500
 Sincan , Tandoğan,4,120,25,1,11500
 Mamak , Tuzluçayır,4,125,26,-2,14500
 Çankaya , Emek,3,80,40,0,15000
