İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Huzur,4,140,15,3,26000
 Çankaya , Kırkkonaklar,5,120,10,2,32000
 Yenimahalle , Barış,3,85,35,6,15000
 Keçiören , İncirli,4,120,20,-1,15500
 Çankaya , Yukarı Bahçelievler,4,100,40,3,38500
 Çankaya , Bahçelievler,3,115,35,1,33000
 Mamak , Balkiraz,3,90,25,0,12500
 Mamak , Akdere,4,130,20,1,13000
 Mamak , Diriliş,4,140,6,8,17000
 Çankaya , Emek,3,95,38,2,32000
 Çankaya , Cebeci,3,85,45,1,18000
 Etimesgut , Eryaman,5,170,11,4,26000
 Çankaya , Kavaklıdere,4,130,35,6,25000
 Mamak , Mutlu,3,90,1,0,13500
 Mamak , Mutlu,4,140,16,3,16000
 Mamak , Akdere,4,115,30,3,15000
 Etimesgut , Şeyh Şamil,4,135,20,4,25000
 Çankaya , Mürsel Uluç,4,110,20,0,23000
 Mamak , Boğaziçi,4,115,9,2,16000
 Çankaya , Emek,4,120,40,2,31000
 Mamak , Abidinpaşa,4,115,30,3,15000
 Çankaya , Güzeltepe,4,110,40,3,25000
 Yenimahalle , İlkyerleşim,4,135,17,5,27000
 Çankaya , Kavaklıdere,3,70,4,2,23000
 Etimesgut , Tunahan,4,135,18,7,25000
 Çankaya , Harbiye,3,100,27,-3,18750
 Yenimahalle , Varlık,2,55,50,3,10000
 Çankaya , Çankaya,4,150,35,6,37000
 Çankaya , Emek,4,95,40,0,20000
 Etimesgut , Şehit Osman Avcı,4,130,18,3,27000
 Çankaya , Aziziye,4,120,40,1,29000
 Mamak , Demirlibahçe,4,100,50,1,16000
 Polatlı , İstiklal,4,110,15,0,10500
 Çankaya , Birlik,2,80,10,1,35000
 Yenimahalle , İnönü,4,120,30,3,25000
 Çankaya , İlkadım,4,95,30,0,19500
 Yenimahalle , Gazi,2,55,0,1,30000
 Çankaya , Kazım Özalp,4,135,40,-2,29000
 Yenimahalle , Beştepe,4,100,40,6,24000
 Yenimahalle , Ergenekon,4,110,25,2,20000
 Altındağ , Aydınlıkevler,4,110,25,3,22000
 Yenimahalle , Demetevler,4,135,31,5,17500
 Çankaya , Metin Oktay,4,128,38,3,17000
 Çankaya , Emek,3,90,40,0,25000
 Yenimahalle , Batı Sitesi,2,55,0,7,32500
 Sincan , Tandoğan,4,120,20,2,14750
 Gölbaşı , İncek,2,60,6,2,26000
 Etimesgut , Şehit Osman Avcı,4,105,25,2,27000
 Çankaya , Metin Oktay,4,120,10,1,17000
 Mamak , Akdere,4,120,40,1,16000
 Keçiören , Aşağı Eğlence,4,115,30,0,11750
 Yenimahalle , Yunus Emre,4,110,15,1,19500
 Polatlı , Fatih,5,170,10,1,15000
