İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Etimesgut , 30 Ağustos Mah.,3,1,125,8,1,21000
 Yenimahalle , Beştepe Mah.,3,1,130,28,3,33000
 Mamak , Mutlu Mah.,3,1,110,10,1,15750
 Keçiören , Ayvalı Mah.,3,1,115,25,1,22000
 Keçiören , Şenlik Mah.,3,1,145,45,2,21000
 Çankaya , 100. Yıl Mah.,2,1,90,30,0,22000
 Mamak , Aşık Veysel Mah.,3,1,125,30,3,15000
 Mamak , Abidinpaşa Mah.,3,1,100,20,1,14500
 Çankaya , İlkadım Mah.,3,1,125,30,3,23000
 Çankaya , Ümit Mah.,2,1,75,5,0,17600
 Çankaya , Büyükesat Mah.,1,1,70,4,-2,23000
 Çubuk , Esenboğa Merkez Mah.,1,1,55,1,2,14000
 Çankaya , Balgat Mah.,1,1,90,15,1,20000
 Mamak , Abidinpaşa Mah.,2,1,85,35,0,15000
 Çankaya , İncesu Mah.,3,1,130,15,1,18000
 Çankaya , İşçi Blokları Mah.,3,1,108,30,2,24500
 Yenimahalle , Tepealtı Mah.,3,1,110,15,2,21000
 Keçiören , Emrah Mah.,3,1,130,6,4,25000
 Çankaya , Yaşamkent Mah.,1,1,3540,0,0,23000
 Keçiören , Aşağı Eğlence Mah.,3,1,120,30,-1,32000
 Keçiören , Yakacık Mah.,3,1,130,45,3,20000
 Çankaya , Aşıkpaşa Mah.,2,1,95,15,2,25000
 Mamak , Şahap Gürler Mah.,3,1,155,4,8,17500
 Çankaya , Birlik Mah.,3,1,145,21,2,32000
 Gölbaşı , Karşıyaka Mah.,3,1,125,16,1,18500
 Mamak , Şahintepe Mah.,3,1,135,12,2,15400
 Çankaya , Cevizlidere Mah.,3,1,145,19,1,29000
 Çankaya , Cevizlidere Mah.,1,1,60,4,2,20000
 Çankaya , Harbiye Mah.,3,1,120,33,3,17000
 Keçiören , Esertepe Mah.,3,1,125,15,1,20000
 Gölbaşı , İncek Mah.,2,1,90,0,2,25000
 Mamak , General Zeki Doğan Mah.,3,1,165,0,2,25000
 Keçiören , Şefkat Mah.,3,1,125,30,1,13000
 Yenimahalle , Beştepe Mah.,4,1,160,24,11,58000
 Çankaya , Dodurga Mah.,1,1,40,0,4,15500
 Çankaya , Mimar Sinan Mah.,3,1,130,15,1,18000
 Keçiören , Pınarbaşı Mah.,3,1,125,30,2,17500
 Etimesgut , Yeni Bağlıca Mah.,1,1,35,1,1,29000
 Yenimahalle , Batı Sitesi Mah.,1,1,55,1,1,20000
 Yenimahalle , Pamuklar Mah.,3,1,135,11,4,23500
 Çankaya , Yeşilkent Mah.,3,1,162,17,3,27500
 Etimesgut , Altay Mah.,1,1,62,25,2,14500
 Çankaya , Tınaztepe Mah.,2,1,90,42,1,19000
 Etimesgut , Şeyh Şamil Mah.,3,1,150,18,3,25000
 Mamak , Durali Alıç Mah.,3,1,125,7,2,25000
 Çankaya , Birlik Mah.,3,1,145,12,2,45000
 Çankaya , Huzur Mah.,3,1,140,15,3,26000
 Çankaya , Kırkkonaklar Mah.,4,1,120,10,2,32000
 Yenimahalle , Barış Mah.,2,1,85,35,6,15000
 Keçiören , İncirli Mah.,3,1,120,20,-1,15500
 Çankaya , Yukarı Bahçelievler Mah.,3,1,100,40,3,38500
 Çankaya , Bahçelievler Mah.,2,1,115,35,1,33000
 Etimesgut , Turkuaz Mah.,3,1,135,15,10,20000
 Etimesgut , Yeni Bağlıca Mah.,5,2,260,6,8,40000
 Mamak , Balkiraz Mah.,2,1,90,25,0,12500
 Mamak , Akdere Mah.,3,1,130,20,1,13000
 Mamak , Diriliş Mah.,3,1,140,6,8,17000
 Çankaya , Alacaatlı Mah.,4,0,210,2,2,44000
 Çankaya , Emek Mah.,2,1,95,38,2,32000
 Çankaya , Cebeci Mah.,2,1,85,45,1,18000
 Çankaya , Ayrancı Mah.,4,2,300,25,6,72000
 Etimesgut , Eryaman Mah.,4,1,170,11,4,26000
 Çankaya , Kavaklıdere Mah.,3,1,130,35,6,25000
 Mamak , Mutlu Mah.,2,1,90,1,0,13500
 Mamak , Mutlu Mah.,3,1,140,16,3,16000
 Mamak , Akdere Mah.,3,1,115,30,3,15000
 Etimesgut , Şeyh Şamil Mah.,3,1,135,20,4,25000
 Çankaya , Metin Oktay Mah.,6,1,300,8,6,25500
 Çankaya , Mürsel Uluç Mah.,3,1,110,20,0,23000
 Mamak , Boğaziçi Mah.,3,1,115,9,2,16000
 Çankaya , Emek Mah.,3,1,120,40,2,31000
 Mamak , Şahap Gürler Mah.,4,2,220,6,4,17000
 Mamak , Abidinpaşa Mah.,3,1,115,30,3,15000
 Çankaya , Güzeltepe Mah.,3,1,110,40,3,25000
 Gölbaşı , İncek Mah.,3,1,170,10,18,36000
 Yenimahalle , İlkyerleşim Mah.,3,1,135,17,5,27000
 Çankaya , Kavaklıdere Mah.,2,1,70,4,2,23000
 Etimesgut , Yapracık Mah.,2,1,83,11,11,15500
 Polatlı , Zafer Mah.,4,1,200,20,3,18000
 Etimesgut , Tunahan Mah.,3,1,135,18,7,25000
 Çankaya , Harbiye Mah.,2,1,100,27,-3,18750
 Yenimahalle , Varlık Mah.,1,1,55,50,3,10000
 Çankaya , Çankaya Mah.,3,1,150,35,6,37000
 Çankaya , Emek Mah.,3,1,95,40,0,20000
 Etimesgut , Şehit Osman Avcı Mah.,3,1,130,18,3,27000
 Çankaya , Alacaatlı Mah.,4,1,230,5,9,49000
 Çankaya , Aziziye Mah.,3,1,120,40,1,29000
 Mamak , Demirlibahçe Mah.,3,1,100,50,1,16000
 Polatlı , İstiklal Mah.,3,1,110,15,0,10500
