İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Bahçelievler Mah.,3,1,120,40,3,30000
 Etimesgut , Tunahan Mah.,3,1,100,24,2,16500
 Keçiören , Ayvalı Mah.,3,1,110,26,1,17000
 Yenimahalle , Demetevler Mah.,3,1,115,41,6,12000
 Mamak , Saimekadın Mah.,3,1,95,30,1,17000
 Etimesgut , Kazım Karabekir Mah.,3,1,116,25,1,17500
 Çankaya , Osman Temiz Mah.,3,1,130,20,2,30000
 Etimesgut , Turkuaz Mah.,3,1,135,15,0,18000
 Keçiören , Şenlik Mah.,3,1,135,32,1,14000
 Çankaya , Çamlıtepe Mah.,3,1,130,21,3,23000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,125,38,1,28000
 Çankaya , Naci Çakır Mah.,4,1,125,25,2,22000
 Yenimahalle , Burç Mah.,3,1,180,11,4,25000
 Altındağ , Aydınlıkevler Mah.,3,1,115,40,3,22000
 Çankaya , Oran Mah.,2,1,141,8,21,70000
 Sincan , Gazi Osmanpaşa Mah.,3,1,110,25,1,14000
 Sincan , Fatih Mah.,2,1,80,30,1,14000
 Çankaya , İncesu Mah.,3,1,130,25,1,25000
 Altındağ , Karapürçek Mah.,2,1,100,3,1,14500
 Çankaya , Çankaya Mah.,1,1,75,0,2,35000
 Yenimahalle , Demetgül Mah.,3,1,115,21,2,16000
 Mamak , Ege Mah.,3,1,130,12,2,30000
 Polatlı , Gazi Mah.,3,1,120,25,1,12000
 Sincan , Fevzi Çakmak Mah.,2,3,130,25,4,15500
 Keçiören , Güçlükaya Mah.,3,1,120,20,6,15000
 Etimesgut , İstasyon Mah.,5,1,255,20,6,27000
 Çankaya , Büyükesat Mah.,3,1,120,26,1,35000
 Keçiören , Ayvalı Mah.,4,1,185,16,-1,33000
 Çankaya , Bademlidere Mah.,4,1,225,1,5,52000
 Çankaya , Aziziye Mah.,3,1,145,31,1,37500
 Çankaya , Yukarı Dikmen Mah.,2,1,126,4,20,36500
 Yenimahalle , Ata Mah.,3,1,145,10,3,28000
 Keçiören , Kuşcağız Mah.,3,1,150,10,6,21000
 Mamak , Başak Mah.,3,1,135,9,3,15750
 Çankaya , Birlik Mah.,4,1,140,6,3,45000
 Yenimahalle , Esentepe Mah.,3,1,110,21,2,18000
 Çankaya , Yaşamkent Mah.,4,1,185,13,9,70000
 Altındağ , Yıldıztepe Mah.,3,1,125,5,1,17000
 Yenimahalle , Karşıyaka Mah.,2,1,120,30,2,18000
 Sincan , Gökçek Mah.,3,1,110,16,5,22000
 Yenimahalle , İlkyerleşim Mah.,4,1,165,11,4,29000
 Sincan , 29 Ekim Mah.,3,1,146,2,1,22000
 Keçiören , Pınarbaşı Mah.,3,1,125,15,-2,16000
 Keçiören , Emrah Mah.,3,1,125,28,2,25000
 Keçiören , Etlik Mah.,3,1,140,5,2,14000
 Keçiören , Bağlarbaşı Mah.,3,1,100,25,1,14750
 Etimesgut , İstasyon Mah.,3,1,120,15,3,16000
 Sincan , Plevne Mah.,3,1,110,25,1,15500
 Yenimahalle , Barıştepe Mah.,3,1,125,10,5,20500
 Çankaya , Seyranbağları Mah.,2,1,95,30,-1,15000
 Sincan , Atatürk Mah.,3,1,115,30,1,15000
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,125,25,3,30750
 Çankaya , Mustafa Kemal Mah.,3,1,130,9,2,45000
 Çankaya , Ayrancı Mah.,3,1,135,30,2,30000
 Çankaya , İlkadım Mah.,3,1,105,21,1,19000
 Çankaya , Ayrancı Mah.,3,1,130,40,2,33000
 Etimesgut , Ahi Mesut Mah.,4,1,180,5,5,42000
 Etimesgut , Yukarıyurtçu Mah.,3,1,135,15,2,17000
 Altındağ , Battalgazi Mah.,3,1,120,19,1,14500
 Sincan , Atatürk Mah.,3,1,115,21,3,12500
 Mamak , Şahintepe Mah.,3,1,110,15,1,15000
 Altındağ , Yıldıztepe Mah.,3,1,140,4,1,18000
 Keçiören , Bademlik Mah.,2,1,110,16,-2,14000
 Çankaya , Alacaatlı Mah.,3,1,170,7,1,46000
 Etimesgut , Atakent Mah.,3,1,120,17,2,16000
 Etimesgut , Şeker Mah.,2,1,95,6,5,25000
 Gölbaşı , İncek Mah.,1,1,55,1,1,18500
 Keçiören , Etlik Mah.,2,1,110,20,2,22500
 Çankaya , Birlik Mah.,5,1,235,21,3,40000
 Çankaya , Gaziosmanpaşa Mah.,3,1,130,2,-3,48000
 Çankaya , Naci Çakır Mah.,2,1,110,28,3,25000
 Çankaya , Aziziye Mah.,3,1,130,35,0,42000
 Yenimahalle , Beştepe Mah.,3,1,100,25,1,20000
 Keçiören , Şenlik Mah.,3,1,115,30,2,15000
 Çankaya , Ön Cebeci Mah.,2,1,95,35,1,15500
 Mamak , Araplar Mah.,3,1,140,1,11,16000
 Yenimahalle , Işınlar Mah.,3,1,135,22,1,21000
 Gölbaşı , Taşpınar Mah.,1,1,60,0,2,25000
 Çankaya , Yaşamkent Mah.,1,1,62,1,3,24500
 Yenimahalle , Gazi Mah.,1,1,45,5,-1,18000
 Çankaya , Anıttepe Mah.,2,1,140,40,5,23000
 Çankaya , Barbaros Mah.,3,1,123,42,0,25000
 Çankaya , Büyükesat Mah.,3,1,120,26,3,30000
 Etimesgut , Ahi Mesut Mah.,4,1,175,8,3,38000
 Yenimahalle , Turgut Özal Mah.,3,1,135,20,6,25000
 Keçiören , Bağlarbaşı Mah.,3,1,138,25,1,18000
 Çankaya , Maltepe Mah.,2,1,85,40,1,25000
 Çankaya , Kültür Mah.,2,1,90,36,1,19000
 Çankaya , Bahçelievler Mah.,3,1,125,30,2,33000
 Yenimahalle , Batı Sitesi Mah.,3,1,160,25,3,25000
 Çankaya , Büyükesat Mah.,1,1,70,1,1,30000
 Çankaya , Keklik Pınarı Mah.,2,1,110,25,-1,22000
 Çankaya , Cevizlidere Mah.,3,1,145,18,1,33000
 Çankaya , Metin Akkuş Mah.,3,1,110,25,0,17500
 Çankaya , Ayrancı Mah.,3,1,120,22,5,23000
 Çankaya , Mustafa Kemal Mah.,1,1,55,13,1,28000
 Mamak , Türközü Mah.,3,1,130,15,2,18000
 Yenimahalle , Gazi Mah.,2,1,100,35,1,20000
 Keçiören , Kavacık Subayevleri Mah.,2,1,89,39,0,20000
 Etimesgut , Yeşilova Mah.,1,1,66,6,15,26000
 Çankaya , Ayrancı Mah.,2,1,120,4,4,45000
 Sincan , Pınarbaşı Mah.,3,1,125,30,6,14500
 Çankaya , Keklik Pınarı Mah.,2,1,100,11,3,25000
 Etimesgut , Şehit Osman Avcı Mah.,3,1,110,28,1,26000
 Sincan , Malazgirt Mah.,3,1,120,10,3,17000
 Mamak , Bahçeleriçi Mah.,2,1,90,9,1,13750
 Sincan , Menderes Mah.,3,1,140,17,3,19000
 Çankaya , Bahçelievler Mah.,3,1,120,5,2,47000
 Çankaya , Kavaklıdere Mah.,3,1,95,40,1,18500
 Etimesgut , Atakent Mah.,3,1,135,20,2,18000
 Çankaya , İlkadım Mah.,3,1,130,18,1,23000
 Çankaya , 100. Yıl Mah.,2,1,85,45,1,23000
 Keçiören , Etlik Mah.,3,1,120,30,6,15500
 Çankaya , Bahçelievler Mah.,3,1,100,32,1,31000
 Keçiören , Şenlik Mah.,3,1,125,27,1,17000
 Keçiören , Kamil Ocak Mah.,3,1,100,31,3,16500
 Etimesgut , Elvan Mah.,3,1,135,13,6,20000
 Keçiören , Kuşcağız Mah.,3,1,135,16,2,18000
 Çankaya , Remzi Oğuz Arık Mah.,2,1,110,30,2,26000
 Keçiören , Basınevleri Mah.,3,1,130,30,11,19950
 Çankaya , Esatoğlu Mah.,3,1,110,30,3,23500
 Etimesgut , Şehit Osman Avcı Mah.,1,1,55,5,6,22250
 Çankaya , Fidanlık Mah.,1,1,55,50,5,14000
 Sincan , Alcı Mah.,3,1,145,3,6,10000
 Etimesgut , Alsancak Mah.,2,1,125,7,3,19000
 Sincan , 29 Ekim Mah.,3,1,130,16,2,16000
 Çankaya , Mürsel Uluç Mah.,2,1,95,12,2,22000
 Çankaya , Bayraktar Mah.,3,1,110,30,1,14000
 Sincan , Fatih Mah.,3,1,115,25,4,17000
 Çankaya , Bayraktar Mah.,2,1,95,30,2,19000
 Çankaya , Oğuzlar Mah.,1,1,70,2,6,30000
 Altındağ , Aydınlıkevler Mah.,2,1,78,27,1,16000
 Keçiören , Aşağı Eğlence Mah.,3,1,155,35,1,25000
 Etimesgut , Göksu Mah.,2,1,95,4,3,38000
 Mamak , Şahintepe Mah.,3,1,130,16,1,13000
 Çankaya , Güvenevler Mah.,1,1,60,0,2,28000
 Keçiören , Esertepe Mah.,5,1,170,18,4,17000
 Sincan , Mareşal Çakmak Mah.,3,1,120,21,1,2499000
 Keçiören , Ufuktepe Mah.,1,1,100,11,0,16500
 Etimesgut , Piyade Mah.,2,1,100,9,1,15000
 Çankaya , Huzur Mah.,3,1,120,30,1,18000
 Mamak , Mutlu Mah.,3,1,135,12,-1,15000
 Etimesgut , 30 Ağustos Mah.,2,1,110,12,2,16000
 Yenimahalle , Serhat Mah.,3,1,130,30,1,23000
 Sincan , Malazgirt Mah.,3,1,125,15,1,14500
 Keçiören , Sancaktepe Mah.,3,1,140,10,3,27500
 Keçiören , Kavacık Subayevleri Mah.,3,1,100,31,1,21000
 Mamak , Cengizhan Mah.,3,1,120,16,2,18000
 Çankaya , Mebusevleri Mah.,4,1,150,40,2,35000
 Yenimahalle , Güventepe Mah.,3,1,170,12,4,23000
 Çankaya , Güvenevler Mah.,3,1,135,45,1,25000
 Çankaya , Erzurum Mah.,2,1,95,30,3,23000
 Gölbaşı , İncek Mah.,1,1,50,0,1,14750
 Etimesgut , Devlet Mah.,3,1,120,3,5,37000
 Yenimahalle , Demetlale Mah.,3,1,130,35,2,18000
 Yenimahalle , Ata Mah.,3,1,166,10,10,30000
 Gölbaşı , İncek Mah.,1,1,55,0,2,22000
 Çankaya , İlkbahar Mah.,1,1,55,4,0,42000
 Keçiören , Ayvalı Mah.,3,1,120,23,4,16500
 Çankaya , Naci Çakır Mah.,3,1,100,35,0,16500
 Mamak , Balkiraz Mah.,3,1,120,25,1,20000
 Yenimahalle , Ergenekon Mah.,3,1,165,16,9,22000
 Çankaya , Maltepe Mah.,3,1,130,30,4,24000
 Çankaya , Oran Mah.,3,1,150,1,21,42000
 Çankaya , Huzur Mah.,3,1,155,26,8,29500
 Çankaya , Çankaya Mah.,3,1,125,40,3,26000
 Yenimahalle , Kentkoop Mah.,3,1,145,25,6,29000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,140,30,1,35000
 Çankaya , Ön Cebeci Mah.,2,1,80,35,0,18500
 Çankaya , Yukarı Bahçelievler Mah.,3,1,125,35,3,26000
 Etimesgut , Tunahan Mah.,1,1,55,17,2,16000
 Çankaya , Eti Mah.,2,1,90,35,6,20000
 Mamak , Abidinpaşa Mah.,3,1,105,45,2,14000
 Çankaya , Sancak Mah.,3,1,125,18,3,23000
 Çankaya , Yukarı Bahçelievler Mah.,2,1,85,49,2,27000
 Çankaya , Emek Mah.,4,1,155,30,3,50000
 Mamak , Hürel Mah.,2,1,95,25,0,10000
 Çankaya , Güvenevler Mah.,3,1,125,40,3,42500
 Çankaya , Yıldızevler Mah.,2,1,79,40,2,17500
 Çankaya , Yaşamkent Mah.,6,1,310,17,15,49500
 Çankaya , Harbiye Mah.,3,1,125,7,1,28000
 Çankaya , Mürsel Uluç Mah.,3,1,85,5,4,24000
 Keçiören , Yükseltepe Mah.,3,1,130,8,3,23000
 Gölbaşı , Taşpınar Mah.,2,1,128,1,17,33000
 Çankaya , Birlik Mah.,4,1,220,20,3,59000
 Çankaya , Aşağı Öveçler Mah.,1,1,80,0,1,21500
 Yenimahalle , Yakacık Mah.,3,1,130,0,-2,14000
 Çankaya , İlkbahar Mah.,1,1,72,5,3,30500
 Çankaya , Öveçler Mah.,4,1,175,25,1,30000
 Çankaya , Gaziosmanpaşa Mah.,3,1,242,30,9,60000
 Gölbaşı , İncek Mah.,2,1,80,1,2,25000
 Çankaya , İleri Mah.,3,1,115,45,3,15500
 Çankaya , Emek Mah.,2,1,75,30,0,20000
 Çankaya , Emek Mah.,3,1,110,40,6,28000
 Yenimahalle , Beştepe Mah.,2,1,85,35,-1,26500
 Çankaya , Sancak Mah.,2,1,115,35,6,22000
 Çankaya , Bahçelievler Mah.,2,1,80,0,0,33000
 Çankaya , İleri Mah.,3,1,130,31,3,26000
 Etimesgut , Topçu Mah.,3,1,135,15,4,20000
 Keçiören , Ayvalı Mah.,3,1,110,28,6,19000
 Çankaya , Ayrancı Mah.,3,1,115,40,1,28000
 Etimesgut , Alsancak Mah.,5,1,200,15,3,28000
 Çankaya , Emek Mah.,3,1,120,3,2,48000
 Etimesgut , Göksu Mah.,2,1,72,17,9,17500
 Mamak , Demirlibahçe Mah.,2,1,75,30,0,15000
 Keçiören , Etlik Mah.,2,1,100,21,1,23500
 Etimesgut , Şeyh Şamil Mah.,3,1,100,25,2,22000
 Yenimahalle , Ergenekon Mah.,2,3,105,31,0,16000
 Çankaya , Kültür Mah.,4,1,120,45,6,18500
 Çankaya , Aşağı Öveçler Mah.,2,1,95,35,2,18500
 Çankaya , Beytepe Mah.,4,1,200,7,2,52000
 Çankaya , Bahçelievler Mah.,1,1,55,0,2,32000
 Çankaya , 100. Yıl Mah.,3,1,110,28,1,18500
 Çankaya , Balgat Mah.,3,1,120,25,3,32000
 Çankaya , Güzeltepe Mah.,3,1,130,45,3,27000
 Çankaya , Cumhuriyet Mah.,2,1,85,45,2,2150000
 Çankaya , İleri Mah.,3,1,105,47,2,16000
 Keçiören , Aşağı Eğlence Mah.,3,1,100,31,1,20000
 Sincan , Fatih Mah.,2,1,70,30,4,13000
 Keçiören , Şenlik Mah.,3,1,125,26,3,14250
 Keçiören , Çiçekli Mah.,3,1,120,28,3,16000
 Çankaya , Çamlıtepe Mah.,3,1,130,40,3,20000
 Çankaya , Fakülteler Mah.,3,1,125,55,3,27000
 Çankaya , Aşıkpaşa Mah.,3,1,110,15,-1,18000
 Mamak , Akşemsettin Mah.,2,1,100,9,-1,11750
 Yenimahalle , Demetgül Mah.,3,1,115,31,8,14500
 Çankaya , Yaşamkent Mah.,4,1,250,7,6,65000
 Polatlı , Cumhuriyet Mah.,3,1,140,35,3,12500
 Yenimahalle , Ergenekon Mah.,3,1,120,16,1,17500
 Altındağ , Battalgazi Mah.,3,1,135,26,2,16000
 Etimesgut , Bağlıca Mah.,1,1,50,1,3,24000
 Etimesgut , Yeni Bağlıca Mah.,4,1,210,5,2,37000
 Mamak , General Zeki Doğan Mah.,3,1,115,5,2,20000
 Yenimahalle , Yeşilevler Mah.,3,1,120,11,5,20000
 Keçiören , Güçlükaya Mah.,2,1,130,20,-1,15500
 Polatlı , Şehitlik Mah.,4,1,195,7,3,19000
 Çankaya , Yukarı Bahçelievler Mah.,2,1,96,35,3,23000
 Keçiören , Şenlik Mah.,3,1,135,40,6,18000
 Etimesgut , Göksu Mah.,3,1,135,15,2,25000
 Çankaya , Kültür Mah.,1,1,65,32,4,21000
 Çankaya , Arka Topraklık Mah.,3,1,110,25,1,19500
 Çankaya , Aziziye Mah.,3,1,130,35,0,42000
 Çankaya , Osman Temiz Mah.,3,1,120,15,3,25000
 Çankaya , Osman Temiz Mah.,3,1,130,25,2,22000
 Keçiören , Şenlik Mah.,3,1,110,30,2,20000
 Etimesgut , Turkuaz Mah.,3,1,135,15,0,17000
 Çankaya , Arka Topraklık Mah.,2,1,85,35,1,15500
 Çankaya , Bahçelievler Mah.,5,1,230,12,6,45000
 Keçiören , Kavacık Subayevleri Mah.,4,1,160,40,2,25000
 Çankaya , Umut Mah.,3,1,110,30,1,20000
 Çankaya , Kavaklıdere Mah.,3,1,130,20,4,35000
 Mamak , Hürel Mah.,2,1,90,16,1,20000
 Keçiören , Ayvalı Mah.,3,1,115,21,3,15000
 Keçiören , Adnan Menderes Mah.,3,1,115,13,2,17000
 Çankaya , Yaşamkent Mah.,2,1,78,1,3,28500
 Çankaya , Emek Mah.,1,1,55,5,4,40000
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,120,16,0,27500
 Çankaya , Güzeltepe Mah.,3,1,125,30,3,27500
 Yenimahalle , Kentkoop Mah.,3,1,155,24,3,23500
 Mamak , Akşemsettin Mah.,3,1,160,0,13,27500
 Çankaya , Fidanlık Mah.,3,1,120,32,3,25000
 Yenimahalle , Demetgül Mah.,3,1,115,21,5,18000
 Keçiören , Tepebaşı Mah.,2,1,110,30,3,17000
 Yenimahalle , Yunus Emre Mah.,4,1,180,21,3,35000
 Çankaya , Cevizlidere Mah.,3,1,155,15,1,30000
 Keçiören , Etlik Mah.,2,1,90,25,0,18000
 Çankaya , Büyükesat Mah.,1,1,70,5,2,26000
 Mamak , Durali Alıç Mah.,3,1,120,10,2,25000
 Çankaya , Yukarı Bahçelievler Mah.,2,1,70,35,1,25000
 Çankaya , Güvenevler Mah.,1,1,70,1,1,36000
 Çankaya , Huzur Mah.,3,1,145,16,3,25000
 Keçiören , Aşağı Eğlence Mah.,3,1,120,30,3,22000
 Gölbaşı , Eymir Mah.,3,1,120,11,5,22000
 Çankaya , Çamlıtepe Mah.,2,1,90,30,2,24500
 Çankaya , Küçükesat Mah.,1,1,90,25,-1,15000
 Çankaya , Erzurum Mah.,3,1,130,30,6,30000
 Yenimahalle , Mehmet Akif Ersoy Mah.,1,1,70,25,1,20500
 Çankaya , Kırkkonaklar Mah.,3,1,125,25,1,25000
 Gölbaşı , Taşpınar Mah.,1,1,55,1,2,20000
 Polatlı , Şehitlik Mah.,3,1,140,17,3,18000
 Çankaya , Tınaztepe Mah.,3,1,125,40,2,19000
 Sincan , Plevne Mah.,3,1,125,20,4,16000
 Çankaya , Büyükesat Mah.,3,1,130,28,4,31000
 Çankaya , Mebusevleri Mah.,2,1,110,40,1,26000
 Sincan , Mareşal Çakmak Mah.,3,1,130,25,4,13500
 Çankaya , Yaşamkent Mah.,1,1,65,0,3,22500
 Çankaya , Alacaatlı Mah.,4,1,235,4,19,50000
 Çubuk , Esenboğa Merkez Mah.,1,1,50,4,2,12000
 Yenimahalle , Karşıyaka Mah.,3,1,120,45,1,16000
 Çankaya , Devlet Mah.,2,1,100,60,0,23000
 Etimesgut , Fatih Sultan Mah.,4,1,185,20,5,45000
 Çankaya , Keklik Pınarı Mah.,3,1,140,18,2,25000
 Çankaya , Ayrancı Mah.,3,1,125,30,2,40500
 Çankaya , Fakülteler Mah.,3,1,115,18,5,25000
 Mamak , Balkiraz Mah.,3,1,120,30,6,17000
 Çankaya , Kültür Mah.,2,1,85,0,1,33000
 Çankaya , Mürsel Uluç Mah.,2,1,110,25,-2,21500
 Çankaya , Sancak Mah.,3,1,170,11,3,30000
 Yenimahalle , Demetevler Mah.,3,1,125,39,5,15000
 Etimesgut , Alsancak Mah.,3,1,125,11,2,17000
 Mamak , General Zeki Doğan Mah.,3,1,160,0,1,25000
 Etimesgut , Şehit Osman Avcı Mah.,2,1,92,5,5,28000
 Çankaya , Güvenevler Mah.,1,1,60,0,2,28000
 Çankaya , Harbiye Mah.,2,1,100,30,-2,13000
 Keçiören , Esertepe Mah.,3,1,100,25,2,20000
 Keçiören , Ayvalı Mah.,2,1,107,3,4,45000
 Çankaya , Fidanlık Mah.,3,1,135,45,3,20000
 Çankaya , Fakülteler Mah.,3,1,110,35,3,21000
 Mamak , Şahintepe Mah.,3,1,115,18,2,17000
 Yenimahalle , Güzelyaka Mah.,4,1,200,3,12,32000
 Altındağ , Aydınlıkevler Mah.,2,1,85,26,1,16000
 Keçiören , Esertepe Mah.,3,1,140,18,2,18000
 Etimesgut , Göksu Mah.,3,1,125,14,6,28500
 Gölbaşı , İncek Mah.,2,1,80,0,1,21000
 Yenimahalle , Pamuklar Mah.,4,1,190,8,1,31500
 Gölbaşı , İncek Mah.,3,1,120,0,6,25500
 Keçiören , Aşağı Eğlence Mah.,3,1,125,35,2,23500
 Yenimahalle , Demetlale Mah.,3,1,115,30,4,25000
 Çankaya , Maltepe Mah.,3,1,125,30,1,25000
 Çankaya , Yukarı Dikmen Mah.,3,1,170,1,5,45000
 Keçiören , Köşk Mah.,2,1,95,21,1,13500
 Keçiören , Pınarbaşı Mah.,3,1,115,30,2,18500
 Yenimahalle , Gayret Mah.,1,1,55,35,2,18000
 Çankaya , Emek Mah.,3,1,100,35,2,25000
 Çankaya , Sancak Mah.,4,1,200,26,5,40000
 Çankaya , Birlik Mah.,1,1,65,4,6,25500
 Keçiören , Ayvalı Mah.,3,1,155,24,3,23750
 Sincan , Törekent Mah.,3,1,140,20,6,20000
 Etimesgut , Alsancak Mah.,2,1,90,10,3,25000
 Çankaya , Bahçelievler Mah.,4,1,160,35,3,38000
 Mamak , Tuzluçayır Mah.,3,1,120,25,2,16000
 Etimesgut , Yapracık Mah.,2,1,85,11,5,12000
 Çankaya , Birlik Mah.,4,1,165,16,1,49000
 Çankaya , Çukurambar Mah.,4,1,175,24,3,45000
 Çankaya , Mürsel Uluç Mah.,3,1,85,5,4,24000
 Sincan , Alcı Mah.,3,1,145,3,10,10000
 Keçiören , Ayvalı Mah.,2,1,100,15,2,19000
 Çankaya , İşçi Blokları Mah.,2,1,90,35,5,23000
 Çankaya , Büyükesat Mah.,3,1,180,9,3,68000
 Çankaya , Oğuzlar Mah.,1,0,70,2,6,25000
 Keçiören , Emrah Mah.,3,1,110,35,3,19000
 Çankaya , Umut Mah.,2,1,95,25,1,15000
 Çankaya , Tınaztepe Mah.,2,1,100,30,6,26000
 Gölbaşı , Eymir Mah.,10,1,330,16,0,50000
 Polatlı , Şentepe Mah.,3,1,145,5,3,15500
 Çankaya , İlkadım Mah.,3,1,150,22,1,30000
 Keçiören , Etlik Mah.,2,1,120,20,1,36000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,120,35,3,34000
 Çankaya , İlkadım Mah.,3,1,110,28,1,16000
 Keçiören , İncirli Mah.,2,1,65,35,1,15000
 Çankaya , Beytepe Mah.,3,1,130,0,7,47000
 Polatlı , Mehmet Akif Mah.,3,1,135,15,1,11900
 Çankaya , Huzur Mah.,3,1,125,26,1,22000
 Mamak , Kutlu Mah.,3,1,110,17,-1,20000
 Çankaya , İlkadım Mah.,3,1,130,26,-1,19000
 Çankaya , Çamlıtepe Mah.,2,1,85,35,6,20000
 Çankaya , Şehit Cevdet Özdemir Mah.,2,1,110,28,2,16750
 Çankaya , Şehit Cevdet Özdemir Mah.,2,1,115,28,2,17000
 Yenimahalle , Batı Sitesi Mah.,2,1,110,0,2,30000
 Keçiören , Kamil Ocak Mah.,3,1,100,31,6,18500
 Çankaya , Gökkuşağı Mah.,3,1,135,15,1,19500
 Çankaya , Yukarı Bahçelievler Mah.,1,0,26,20,-1,30000
 Etimesgut , Şeker Mah.,3,1,140,20,3,28000
 Çankaya , Yıldızevler Mah.,2,1,75,35,1,19000
 Etimesgut , 30 Ağustos Mah.,4,1,165,15,3,19750
 Keçiören , İncirli Mah.,3,1,130,15,2,21000
 Altındağ , Güneşevler Mah.,3,1,115,30,6,18500
 Etimesgut , Göksu Mah.,1,1,62,17,7,18000
 Çankaya , Kırkkonaklar Mah.,3,1,135,17,2,22000
 Sincan , 29 Ekim Mah.,3,1,114,18,6,14500
 Mamak , Başak Mah.,3,1,135,5,1,15000
 Çankaya , Yaşamkent Mah.,3,1,70,10,3,26000
 Gölbaşı , İncek Mah.,3,1,140,3,4,35000
 Çankaya , Gaziosmanpaşa Mah.,2,1,110,2,0,30000
 Gölbaşı , Kızılcaşar Mah.,2,1,80,1,1,25000
 Mamak , Zirvekent Mah.,1,1,100,15,4,10000
 Sincan , Pınarbaşı Mah.,3,1,125,6,2,15000
 Keçiören , Kuşcağız Mah.,3,1,115,23,2,16000
 Çankaya , Yıldızevler Mah.,3,1,120,16,11,45000
 Yenimahalle , Barıştepe Mah.,4,1,240,4,14,32000
 Mamak , Durali Alıç Mah.,3,1,135,12,12,27750
 Keçiören , Aşağı Eğlence Mah.,2,1,110,31,2,15500
 Çankaya , 100. Yıl Mah.,2,1,90,15,3,30000
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,21,3,17500
 Keçiören , Etlik Mah.,3,1,110,25,2,18500
 Mamak , Akdere Mah.,3,1,120,25,-1,12500
 Gölbaşı , Örencik Mah.,2,1,55,0,1,15500
 Yenimahalle , Varlık Mah.,3,1,160,19,6,26000
 Keçiören , Pınarbaşı Mah.,3,1,120,30,3,17750
 Keçiören , Aşağı Eğlence Mah.,3,1,115,28,1,25000
 Çankaya , Küçükesat Mah.,3,1,170,50,4,20000
 Çankaya , Yücetepe Mah.,2,1,85,45,2,22000
 Yenimahalle , Beştepe Mah.,1,1,55,20,-1,25000
 Keçiören , Bağlarbaşı Mah.,3,1,115,25,1,14500
 Çankaya , Emek Mah.,3,1,140,31,0,36000
 Gölbaşı , Taşpınar Mah.,1,1,50,3,2,22500
 Polatlı , Cumhuriyet Mah.,3,1,140,30,1,12000
 Çankaya , Yaşamkent Mah.,4,1,350,8,9,46000
 Çankaya , İleri Mah.,2,1,85,27,0,17500
 Keçiören , Etlik Mah.,3,1,135,15,3,20000
 Altındağ , Aydınlıkevler Mah.,3,1,125,30,0,18500
 Polatlı , Şehitlik Mah.,4,1,200,1,5,20000
 Altındağ , Örnek Mah.,2,1,80,52,1,10000
 Gölbaşı , Kızılcaşar Mah.,4,2,220,4,21,54500
 Yenimahalle , İnönü Mah.,3,1,115,35,1,22000
 Etimesgut , Piyade Mah.,3,1,120,18,1,17500
 Çankaya , Aşağı Öveçler Mah.,3,1,130,20,-1,35000
 Çankaya , Malazgirt Mah.,2,1,80,5,1,24000
 Pursaklar , Altınova Mah.,2,1,100,25,1,10250
 Çankaya , Çamlıtepe Mah.,3,1,110,25,4,25000
 Çankaya , Aşağı Öveçler Mah.,2,1,95,35,2,27000
 Çankaya , Tınaztepe Mah.,3,1,115,35,2,20000
 Gölbaşı , Örencik Mah.,1,1,55,0,3,21000
 Etimesgut , Yeni Bağlıca Mah.,4,1,170,10,2,28750
 Çankaya , Huzur Mah.,3,1,135,20,3,24500
 Sincan , Selçuklu Mah.,2,1,90,20,0,15000
 Çankaya , Öveçler Mah.,3,1,125,25,1,25000
 Etimesgut , Atakent Mah.,3,3,110,18,1,17000
 Mamak , General Zeki Doğan Mah.,3,1,115,16,3,15000
 Yenimahalle , Beştepe Mah.,3,1,130,28,5,33000
 Çankaya , Naci Çakır Mah.,3,1,105,25,1,17000
 Çankaya , İncesu Mah.,2,1,70,39,1,15500
 Mamak , Saimekadın Mah.,3,1,100,25,2,13000
 Çankaya , Balgat Mah.,3,1,90,30,2,30000
 Çankaya , Emek Mah.,3,1,100,48,3,35000
 Keçiören , Uyanış Mah.,3,1,140,40,2,14000
 Keçiören , Güçlükaya Mah.,3,1,120,35,2,15000
 Keçiören , Ayvalı Mah.,3,1,130,20,-1,20000
 Çankaya , Emek Mah.,3,1,110,35,3,28000
 Çankaya , Güvenevler Mah.,1,1,60,31,0,20000
 Çankaya , Bahçelievler Mah.,1,1,50,0,2,32000
 Çankaya , Yıldızevler Mah.,2,1,75,55,5,17500
 Etimesgut , Tunahan Mah.,2,1,75,25,1,17000
 Gölbaşı , Bahçelievler Mah.,1,1,55,20,2,14500
 Çankaya , Yukarı Bahçelievler Mah.,2,1,105,25,1,25000
 Çankaya , İleri Mah.,2,1,100,35,0,14000
 Altındağ , Aydınlıkevler Mah.,3,1,95,31,3,15000
 Keçiören , Aşağı Eğlence Mah.,3,1,125,30,1,35000
 Çankaya , Doğuş Mah.,3,1,100,45,1,20000
 Çankaya , Yukarı Bahçelievler Mah.,1,1,45,0,2,32000
